Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,10.647218,-28.2897,90.0,bottom
C2,22pF,C_0402_1005Metric,38.164018,-24.585,180.0,bottom
C3,22pF,C_0402_1005Metric,37.910018,-31.28775,0.0,bottom
C4,1uF,C_0402_1005Metric,20.511018,-33.06575,0.0,bottom
C5,100nF,C_0402_1005Metric,18.71725,-28.776,0.0,bottom
C6,100nF,C_0402_1005Metric,34.33825,-32.713,180.0,bottom
C7,10uF,C_0402_1005Metric,9.731893,-35.701,90.0,bottom
C8,1uF,C_0402_1005Metric,20.511018,-34.08175,0.0,bottom
C9,100nF,C_0402_1005Metric,23.28925,-36.777,270.0,bottom
C10,100nF,C_0402_1005Metric,34.33825,-31.189,180.0,bottom
C11,100nF,C_0402_1005Metric,29.670893,-37.606,225.0,bottom
C12,100nF,C_0402_1005Metric,28.893018,-24.04875,135.0,bottom
C13,100nF,C_0402_1005Metric,18.71725,-30.3,0.0,bottom
C14,100nF,C_0402_1005Metric,21.76525,-36.777,270.0,bottom
C15,100nF,C_0402_1005Metric,23.051018,-25.06475,0.0,bottom
C16,1uF,C_0402_1005Metric,4.268018,-35.98725,90.0,bottom
C17,1uF,C_0402_1005Metric,10.747893,-35.701,270.0,bottom
C18,100nF,C_0402_1005Metric,-35.25,-26.95,180.0,bottom
C19,100nF,C_0402_1005Metric,-28.62,-27.05,180.0,bottom
C20,100nF,C_0402_1005Metric,-22.03,-27.1,180.0,bottom
D1,D,D_SOD-323F,-56.0881,-46.49,90.0,bottom
D2,D,D_SOD-323F,-51.3251,-65.54,90.0,bottom
D3,D,D_SOD-323F,-48.9441,-84.59,90.0,bottom
D4,D,D_SOD-323F,-44.1075,-103.64,90.0,bottom
D5,D,D_SOD-323F,-53.7071,-122.69,90.0,bottom
D6,D,D_SOD-323F,-37.0381,-46.49,90.0,bottom
D7,D,D_SOD-323F,-27.5131,-65.54,90.0,bottom
D8,D,D_SOD-323F,-22.7506,-84.59,90.0,bottom
D9,D,D_SOD-323F,-13.2256,-103.64,90.0,bottom
D10,D,D_SOD-323F,-29.8946,-122.69,90.0,bottom
D11,D,D_SOD-323F,-17.9881,-46.49,90.0,bottom
D12,D,D_SOD-323F,-8.4631,-65.54,90.0,bottom
D13,D,D_SOD-323F,-3.7006,-84.59,90.0,bottom
D14,D,D_SOD-323F,5.8244,-103.64,90.0,bottom
D15,D,D_SOD-323F,-6.0821,-122.69,90.0,bottom
D16,D,D_SOD-323F,1.0619,-46.49,90.0,bottom
D17,D,D_SOD-323F,10.5869,-65.54,90.0,bottom
D18,D,D_SOD-323F,15.3494,-84.59,90.0,bottom
D19,D,D_SOD-323F,24.8744,-103.64,90.0,bottom
D20,D,D_SOD-323F,15.3494,-122.69,90.0,bottom
D21,D,D_SOD-323F,20.1119,-46.49,90.0,bottom
D22,D,D_SOD-323F,29.6369,-65.54,90.0,bottom
D23,D,D_SOD-323F,34.3994,-84.59,90.0,bottom
D24,D,D_SOD-323F,43.9244,-103.64,90.0,bottom
D25,D,D_SOD-323F,46.38,-122.69,90.0,bottom
D26,D,D_SOD-323F,39.1619,-46.49,90.0,bottom
D27,D,D_SOD-323F,48.6869,-65.54,90.0,bottom
D28,D,D_SOD-323F,53.4494,-84.59,90.0,bottom
D29,D,D_SOD-323F,62.9744,-103.64,90.0,bottom
D30,D,D_SOD-323F,58.2119,-46.49,90.0,bottom
D31,D,D_SOD-323F,67.7369,-65.54,90.0,bottom
D32,D,D_SOD-323F,72.4994,-84.59,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,-2.162782,-30.2327,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-6.754032,-23.01545,0.0,bottom
J3,ConnLeft,PJ-342B,-44.6,-26.1,0.0,bottom
J4,ConnRight,PJ-342B,53.5,-26.1,0.0,bottom
Q1,BSS138,SOT-23,-30.2875,-24.7,180.0,bottom
R1,1k,R_0402_1005Metric,10.737218,-21.8327,90.0,bottom
R2,1k,R_0402_1005Metric,39.637218,-36.4427,270.0,bottom
R3,5k1,R_0402_1005Metric,-9.167032,-28.524575,270.0,bottom
R4,5k1,R_0402_1005Metric,-4.214032,-28.524575,270.0,bottom
R5,27R,R_0603_1608Metric,14.938893,-30.949,180.0,bottom
R6,27R,R_0603_1608Metric,14.938893,-32.6,180.0,bottom
R7,1k,R_0402_1005Metric,34.33825,-29.157,0.0,bottom
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-27.35,-24.7,270.0,bottom
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-33.0,-25.7875,90.0,bottom
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,14.202218,-24.8127,0.0,bottom
U2,USBLC6-2SC6,SOT-23-6,-6.658782,-30.0327,270.0,bottom
U3,RP2040,RP2040-QFN-56,26.75,-30.3,0.0,bottom
U4,XC6206PxxxMR-Regulator_Linear,SOT-23,7.062018,-35.22525,180.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,37.89425,-28.014,90.0,bottom
