Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,116.332175,-49.6957,90.0,bottom
C2,22pF,C_0402_1005Metric,143.848975,-45.991,180.0,bottom
C3,22pF,C_0402_1005Metric,143.594975,-52.69375,0.0,bottom
C4,1uF,C_0402_1005Metric,126.195975,-54.47175,0.0,bottom
C5,100nF,C_0402_1005Metric,124.402207,-50.182,0.0,bottom
C6,100nF,C_0402_1005Metric,140.023207,-54.119,180.0,bottom
C7,10uF,C_0402_1005Metric,115.41685,-57.107,90.0,bottom
C8,1uF,C_0402_1005Metric,126.195975,-55.48775,0.0,bottom
C9,100nF,C_0402_1005Metric,128.974207,-58.183,270.0,bottom
C10,100nF,C_0402_1005Metric,140.023207,-52.595,180.0,bottom
C11,100nF,C_0402_1005Metric,135.35585,-59.012,225.0,bottom
C12,100nF,C_0402_1005Metric,134.577975,-45.45475,135.0,bottom
C13,100nF,C_0402_1005Metric,124.402207,-51.706,0.0,bottom
C14,100nF,C_0402_1005Metric,127.450207,-58.183,270.0,bottom
C15,100nF,C_0402_1005Metric,128.735975,-46.47075,0.0,bottom
C16,1uF,C_0402_1005Metric,109.952975,-57.39325,90.0,bottom
C17,1uF,C_0402_1005Metric,116.43285,-57.107,270.0,bottom
C18,100nF,C_0402_1005Metric,191.2628,-48.3944,180.0,bottom
C19,100nF,C_0402_1005Metric,197.8928,-48.4944,180.0,bottom
C20,100nF,C_0402_1005Metric,204.4828,-48.5444,180.0,bottom
D33,1N4148,D_SOD-323F,50.075,-69.625,90.0,bottom
D34,1N4148,D_SOD-323F,59.6,-88.675,90.0,bottom
D35,1N4148,D_SOD-323F,45.3125,-107.725,90.0,bottom
D36,1N4148,D_SOD-323F,54.8375,-126.775,90.0,bottom
D37,1N4148,D_SOD-323F,64.3625,-145.825,90.0,bottom
D38,1N4148,D_SOD-323F,69.125,-69.625,90.0,bottom
D39,1N4148,D_SOD-323F,78.65,-88.675,90.0,bottom
D40,1N4148,D_SOD-323F,64.3625,-107.725,90.0,bottom
D41,1N4148,D_SOD-323F,73.8875,-126.775,90.0,bottom
D42,1N4148,D_SOD-323F,88.175,-69.625,90.0,bottom
D43,1N4148,D_SOD-323F,97.7,-88.675,90.0,bottom
D44,1N4148,D_SOD-323F,83.4125,-107.725,90.0,bottom
D45,1N4148,D_SOD-323F,92.9375,-126.775,90.0,bottom
D46,1N4148,D_SOD-323F,92.9375,-145.825,90.0,bottom
D47,1N4148,D_SOD-323F,107.225,-69.625,90.0,bottom
D48,1N4148,D_SOD-323F,116.75,-88.675,90.0,bottom
D49,1N4148,D_SOD-323F,102.4625,-107.725,90.0,bottom
D50,1N4148,D_SOD-323F,111.9875,-126.775,90.0,bottom
D51,1N4148,D_SOD-323F,111.9875,-145.825,90.0,bottom
D52,1N4148,D_SOD-323F,126.275,-69.625,90.0,bottom
D53,1N4148,D_SOD-323F,135.8,-88.675,90.0,bottom
D54,1N4148,D_SOD-323F,121.5125,-107.725,90.0,bottom
D55,1N4148,D_SOD-323F,131.0375,-126.775,90.0,bottom
D56,1N4148,D_SOD-323F,131.0375,-145.825,90.0,bottom
D57,1N4148,D_SOD-323F,145.325,-69.625,90.0,bottom
D58,1N4148,D_SOD-323F,154.85,-88.675,90.0,bottom
D59,1N4148,D_SOD-323F,140.5625,-107.725,90.0,bottom
D60,1N4148,D_SOD-323F,150.0875,-126.775,90.0,bottom
D61,1N4148,D_SOD-323F,150.0875,-145.825,90.0,bottom
D62,1N4148,D_SOD-323F,164.375,-69.625,90.0,bottom
D63,1N4148,D_SOD-323F,173.9,-88.675,90.0,bottom
D64,1N4148,D_SOD-323F,159.6125,-107.725,90.0,bottom
D65,1N4148,D_SOD-323F,176.2815,-126.775,90.0,bottom
D66,1N4148,D_SOD-323F,183.425,-145.825,90.0,bottom
D67,1N4148,D_SOD-323F,192.95,-69.625,90.0,bottom
D68,1N4148,D_SOD-323F,197.713,-88.675,90.0,bottom
D69,1N4148,D_SOD-323F,190.643099,-107.725,90.0,bottom
D70,1N4148,D_SOD-323F,202.475,-126.775,90.0,bottom
